sample_id	context	U_proportion	observed	adjust
GSM2099271	CG	0.737427030607783	0.262572969392218	0.208282905725236
GSM2099272	CG	0.740101487357922	0.259898512642078	0.205608448975096
GSM2099274	CG	0.74820196798161	0.25179803201839	0.197507968351408
GSM2099275	CG	0.733813067289259	0.266186932710741	0.211896869043759
GSM2099276	CG	0.752579851345417	0.247420148654583	0.193130084987601
GSM2099278	CG	0.736830342838511	0.263169657161489	0.208879593494507
GSM2099279	CG	0.74609221991695	0.25390778008305	0.199617716416068
GSM2099281	CG	0.730774227385454	0.269225772614546	0.214935708947564
GSM2099282	CG	0.738391574248448	0.261608425751552	0.20731836208457
GSM2099283	CG	0.720192298553425	0.279807701446576	0.225517637779594
GSM2099284	CG	0.739907637127422	0.260092362872578	0.205802299205596
GSM2099285	CG	0.723066618116672	0.276933381883328	0.222643318216346
GSM2099286	CG	0.731245433048121	0.268754566951879	0.214464503284897
GSM2099287	CG	0.736095267570397	0.263904732429603	0.209614668762621
GSM2099288	CG	0.726785387432273	0.273214612567727	0.218924548900745
GSM2099289	CG	0.736386398510637	0.263613601489364	0.209323537822382
GSM2099290	CG	0.732134283235374	0.267865716764626	0.213575653097644
GSM2099291	CG	0.734963481157577	0.265036518842424	0.210746455175442
GSM2099292	CG	0.74172490329514	0.25827509670486	0.203985033037878
GSM2099293	CG	0.75750827079156	0.24249172920844	0.188201665541458
GSM2099294	CG	0.755270372010988	0.244729627989012	0.19043956432203
GSM2099295	CG	0.734376219968821	0.265623780031179	0.211333716364197
GSM2099296	CG	0.743141106606211	0.25685889339379	0.202568829726808
GSM2099297	CG	0.739862784908287	0.260137215091713	0.205847151424731
GSM2099298	CG	0.744647949060624	0.255352050939376	0.201061987272394
GSM2099299	CG	0.711105196007305	0.288894803992695	0.234604740325713
GSM2099300	CG	0.739271461361024	0.260728538638976	0.206438474971994
GSM2099301	CG	0.72833664586024	0.27166335413976	0.217373290472778
GSM2099302	CG	0.755075859410651	0.244924140589349	0.190634076922367
GSM2099303	CG	0.730615380345574	0.269384619654426	0.215094555987444
GSM2099304	CG	0.723027092455807	0.276972907544193	0.222682843877211
GSM2099305	CG	0.729498189418045	0.270501810581955	0.216211746914973
GSM2099306	CG	0.73493880066416	0.265061199335841	0.210771135668859
GSM2099307	CG	0.726020933662568	0.273979066337432	0.21968900267045
GSM2099308	CG	0.735092288822632	0.264907711177368	0.210617647510386
GSM2099309	CG	0.726264304509082	0.273735695490918	0.219445631823936
GSM2099310	CG	0.731892389821001	0.268107610178999	0.213817546512017
GSM2099311	CG	0.720553063037262	0.279446936962738	0.225156873295756
GSM2099312	CG	0.754210801280738	0.245789198719262	0.19149913505228
GSM2099313	CG	0.753629038012712	0.246370961987288	0.192080898320306
GSM2099314	CG	0.703138609465769	0.296861390534231	0.242571326867249
GSM2099315	CG	0.751228385994604	0.248771614005396	0.194481550338414
GSM2099316	CG	0.751993367702644	0.248006632297356	0.193716568630374
GSM2099317	CG	0.723875996397666	0.276124003602334	0.221833939935352
GSM2099318	CG	0.713522645290581	0.286477354709419	0.232187291042437
GSM2099319	CG	0.758843203655125	0.241156796344875	0.186866732677893
GSM2099320	CG	0.782152145676503	0.217847854323497	0.163557790656515
GSM2099321	CG	0.735300601940101	0.2646993980599	0.210409334392918
GSM2099322	CG	0.734509239087165	0.265490760912835	0.211200697245853
GSM2099323	CG	0.738169131730922	0.261830868269078	0.207540804602096
GSM2099324	CG	0.725021250336163	0.274978749663837	0.220688685996855
GSM2099325	CG	0.74383652653014	0.25616347346986	0.201873409802878
GSM2099326	CG	0.720514087515763	0.279485912484237	0.225195848817255
GSM2099327	CG	0.732066632441533	0.267933367558468	0.213643303891486
GSM2099328	CG	0.732971023322692	0.267028976677309	0.212738913010327
GSM2099329	CG	0.735338192358656	0.264661807641345	0.210371743974363
GSM2099330	CG	0.734535204344758	0.265464795655242	0.21117473198826
GSM2099331	CG	0.716666133972674	0.283333866027326	0.229043802360344
GSM2099332	CG	0.732278334737612	0.267721665262388	0.213431601595406
GSM2099333	CG	0.715822490141981	0.284177509858019	0.229887446191037
GSM2099334	CG	0.72939077887845	0.27060922112155	0.216319157454568
GSM2099335	CG	0.72982784014103	0.27017215985897	0.215882096191988
