Gene	P_Value	log	trait
X00099	0.208385746564782	0.681131989786913	99
X00100	0.196784476528103	0.706009164157178	100
X00101	0.0291245152471875	1.53574129436845	101
X00102	0.483322510601032	0.315762977254774	102
X00103	0.49125399766883	0.308693902451735	103
X00104	0.399228305275671	0.398778674826445	104
X00105	0.271315599143148	0.566525235994997	105
X00106	0.724890163794095	0.139727793252221	106
X00107	0.258994817622482	0.586708925881978	107
X00108	0.0134567705733253	1.87105915188496	108
X00109	0.933689829784954	0.0297973717193631	109
X00110	0.682741423997848	0.165743746382375	110
X00111	0.921939310289554	0.0352976668789752	111
X00112	0.991815408891432	0.00356914877273991	112
X00113	0.939534313501542	0.0270873540496247	113
X00114	0.270628993596045	0.567625677493588	114
X00115	0.462391831092928	0.334989847041252	115
X00116	0.420354082351529	0.37638473048987	116
X00117	0.327405196249274	0.484914432179794	117
X00118	0.294009006112664	0.531639366032988	118
X00119	0.0706232654703558	1.15105220545079	119
X00120	0.966420808975397	0.0148337273923415	120
X00121	0.297696430580629	0.526226372570036	121
X00122	0.421747162031246	0.374947831129629	122
X00123	0.369107912835575	0.43284664441694	123
X00124	0.460989625827749	0.336308847921541	124
X00125	0.188187405929511	0.72540944423678	125
X00126	0.0716371036122159	1.14486198159828	126
X00127	0.31995387649089	0.494912623646464	127
X00128	0.437378498628477	0.359142570535982	128
X00129	0.345952094246892	0.460984036018383	129
X00130	0.509739987254328	0.292651296247031	130
X00131	0.963798420658527	0.0160137896968242	131
X00132	0.11020731714467	0.957789569821283	132
X00133	0.130747623706765	0.883566195542274	133
X00134	0.082187732475188	1.08519300138849	134
X00135	0.848071482745374	0.0715675401330511	135
X00136	0.188899274806272	0.723769709353122	136
X00137	0.625981267834371	0.203438662632841	137
X00138	0.0836335313082099	1.0776195653545	138
X00139	0.138502701319411	0.858541756154238	139
X00140	0.712773397330564	0.147048517736809	140
X00141	0.206894348493104	0.684251372320158	141
X00142	0.0129173541731668	1.88882643259991	142
X00143	0.72314154468595	0.140776687408767	143
X00144	0.14574565734509	0.836404376666111	144
X00145	0.00574856165663673	2.24044080621953	145
X00146	0.0019187416966987	2.71698348657196	146
X00147	0.0279259793970936	1.55399158672463	147
X00148	0.000172445211475447	3.76334886078435	148
X00149	5.6390932045426e-05	4.24879072720912	149
X00150	0.00655802748663159	2.1832267674063	150
X00151	0.000572968595752957	3.2418691809383	151
X00152	0.464174296593658	0.333318912041677	152
X00153	0.659949357016468	0.180489389931096	153
X00154	0.421204529975365	0.375506966706103	154
X00155	0.429910312291256	0.366622137303384	155
X00156	0.274900081014693	0.560825132167339	156
X00157	0.206725800931489	0.684605316779109	157
X00158	0.609638418751486	0.214927672039152	158
X00159	0.381048825057391	0.419019373157853	159
X00160	0.736136163645017	0.133041846463865	160
X00161	0.716673631860122	0.144678573970964	161
X00162	0.0909885195049615	1.04101340141716	162
X00163	0.315179355433195	0.501442236979036	163
X00164	0.296497449422525	0.527979038240654	164
X00165	0.162087602564101	0.790250201338413	165
X00166	0.107459724544335	0.968754277009727	166
X00167	0.339392543193291	0.469297703814401	167
X00168	0.692412331579709	0.159635206121123	168
X00169	0.107459724544335	0.968754277009727	169
X00170	0.173420158248703	0.760900421811704	170
X00171	0.0594059427794719	1.22617010742227	171
X00172	0.830234204993765	0.0807993779991359	172
X00173	0.0115816790511867	1.93622847430421	173
X00174	0.770158587125336	0.113419837915951	174
X00175	0.0573131274477314	1.24174589242807	175
X00176	0.095485549882317	1.02006234654402	176
X00177	0.859122277435488	0.0659450193629568	177
X00178	0.900326789846155	0.0455998269306205	178
X00179	0.146608752805322	0.833840100761889	179
X00180	0.138063161405461	0.859922186248111	180
X00181	0.0379519540164881	1.4207658588533	181
X00182	0.750541081338924	0.124625531388046	182
X00183	0.905911489692236	0.0429142321421962	183
X00184	0.261318962718965	0.582829074369887	184
X00185	0.840488968891379	0.0754679821424656	185
X00186	0.740196745488673	0.130652828751063	186
X00187	0.69206758263954	0.159851493210469	187
X00188	0.504573580572093	0.297075492843679	188
X00189	0.0540399993722184	1.2672846646952	189
