line	Alpha	Alpha_SE	Beta	Beta_SE	condition	peak_genotype
RIL72	13.9784440663327	0.000204182264554755	0.00348309687783363	0.000518625440375247	Lerseg	peakCvi
RIL72	5.53163977193772	7.02682619951398e-05	0.00352590800044943	0.000455160459995539	Cviseg	peakCvi
RIL101	8.1982675404815	7.99783339643542e-05	0.00203081534252912	0.0002004683224146	All	peakLer
RIL101	8.1982675404815	7.99783339643542e-05	0.00203081534252912	0.0002004683224146	All	peakLer
RIL108	6.95345158000747	0.000111877735036499	0.00284360476694853	0.000464024241792637	All	peakCvi
RIL108	6.95345158000747	0.000111877735036499	0.00284360476694853	0.000464024241792637	All	peakCvi
RIL11	10.4382737275469	4.51373734775541e-05	0.00406822341940834	0.000179451064757813	All	peakCvi
RIL11	10.4382737275469	4.51373734775541e-05	0.00406822341940834	0.000179451064757813	All	peakCvi
RIL112	10.0708931248912	0.000168101858957387	0.00262206861855483	0.000444026730206647	All	peakLer
RIL112	10.0708931248912	0.000168101858957387	0.00262206861855483	0.000444026730206647	All	peakLer
RIL116	10.5970751098472	0.000100828607066369	0.00494360544412533	0.000481009608703517	All	peakCvi
RIL116	10.5970751098472	0.000100828607066369	0.00494360544412533	0.000481009608703517	All	peakCvi
RIL120	10.8706879396587	0.000193949347546766	0.00401088077917917	0.000726891742958479	All	peakCvi
RIL120	10.8706879396587	0.000193949347546766	0.00401088077917917	0.000726891742958479	All	peakCvi
RIL125	6.26785940235671	8.42411726775611e-05	0.00162516332628955	0.000220399572948143	All	peakLer
RIL125	6.26785940235671	8.42411726775611e-05	0.00162516332628955	0.000220399572948143	All	peakLer
RIL126	5.68038930990484	7.53468495693297e-05	0.00189009936552633	0.000253142343854456	All	peakLer
RIL126	5.68038930990484	7.53468495693297e-05	0.00189009936552633	0.000253142343854456	All	peakLer
RIL127	5.37170616232473	6.92920602920273e-05	0.00193571237901309	0.00025206534465378	All	peakLer
RIL127	5.37170616232473	6.92920602920273e-05	0.00193571237901309	0.00025206534465378	All	peakLer
RIL13	6.54503849516716	6.05433156771749e-05	0.00196500498206951	0.000183544711965581	All	peakLer
RIL13	6.54503849516716	6.05433156771749e-05	0.00196500498206951	0.000183544711965581	All	peakLer
RIL132	5.70692709184038	7.03491437526322e-05	0.00236434545482034	0.000294912748213835	All	peakLer
RIL132	5.70692709184038	7.03491437526322e-05	0.00236434545482034	0.000294912748213835	All	peakLer
RIL133	6.44897965089884	4.71965597448873e-05	0.00156314628317616	0.000115388502845587	All	peakLer
RIL133	6.44897965089884	4.71965597448873e-05	0.00156314628317616	0.000115388502845587	All	peakLer
RIL135	5.98541588936939	5.66998551311719e-05	0.0016031540227422	0.00015318780381076	All	peakLer
RIL135	5.98541588936939	5.66998551311719e-05	0.0016031540227422	0.00015318780381076	All	peakLer
RIL136	10.9462189916754	0.000168327216464956	0.00447044852224818	0.000701853140341933	All	peakCvi
RIL136	10.9462189916754	0.000168327216464956	0.00447044852224818	0.000701853140341933	All	peakCvi
RIL140	3.84853332278905	8.33697860363448e-05	0.00199870346713228	0.000437224565697871	All	peakLer
RIL140	3.84853332278905	8.33697860363448e-05	0.00199870346713228	0.000437224565697871	All	peakLer
RIL142	5.87102387085561	1.12151660131926e-05	0.00209793242911769	4.05029098858499e-05	All	peakLer
RIL142	5.87102387085561	1.12151660131926e-05	0.00209793242911769	4.05029098858499e-05	All	peakLer
RIL143	6.4236579992719	9.17795392233803e-05	0.00215065696300266	0.000310834792153811	All	peakLer
RIL143	6.4236579992719	9.17795392233803e-05	0.00215065696300266	0.000310834792153811	All	peakLer
RIL146	6.44931617310579	3.94842815923757e-05	0.00170760647315833	0.000105517595067176	All	peakLer
RIL146	6.44931617310579	3.94842815923757e-05	0.00170760647315833	0.000105517595067176	All	peakLer
RIL147	7.88552565807572	9.7288937074564e-05	0.00288815474507965	0.00036153920178001	All	peakCvi
RIL147	7.88552565807572	9.7288937074564e-05	0.00288815474507965	0.00036153920178001	All	peakCvi
RIL149	4.06135160864456	0.000133674307430107	0.00130235369144955	0.000431472017083606	All	peakLer
RIL149	4.06135160864456	0.000133674307430107	0.00130235369144955	0.000431472017083606	All	peakLer
RIL15	9.55602623554464	0.000146619670426375	0.0051265650622592	0.000806171540740299	All	peakCvi
RIL15	9.55602623554464	0.000146619670426375	0.0051265650622592	0.000806171540740299	All	peakCvi
RIL150	5.8084109238096	0.000140942921424175	0.00177716576027138	0.00043526181973902	All	peakLer
RIL150	5.8084109238096	0.000140942921424175	0.00177716576027138	0.00043526181973902	All	peakLer
RIL151	8.37850032492784	8.18290157214701e-05	0.00233287209663917	0.000230596579675352	All	peakLer
RIL151	8.37850032492784	8.18290157214701e-05	0.00233287209663917	0.000230596579675352	All	peakLer
RIL153	6.76778536874366	8.98677767301383e-05	0.00165985142131461	0.000222457783695141	All	peakLer
RIL153	6.76778536874366	8.98677767301383e-05	0.00165985142131461	0.000222457783695141	All	peakLer
RIL154	8.75375799294847	7.54589946892499e-05	0.00226186515690944	0.000197398315208524	All	peakLer
RIL154	8.75375799294847	7.54589946892499e-05	0.00226186515690944	0.000197398315208524	All	peakLer
RIL155	12.3277003763586	0.000206200047569374	0.0051384605047808	0.00088138548232744	All	peakCvi
RIL155	12.3277003763586	0.000206200047569374	0.0051384605047808	0.00088138548232744	All	peakCvi
RIL158	5.49587668311619	2.82840387288124e-05	0.00190134434410515	9.87942889838521e-05	All	peakLer
RIL158	5.49587668311619	2.82840387288124e-05	0.00190134434410515	9.87942889838521e-05	All	peakLer
RIL162	14.3389760778744	0.000228445255722643	0.00548247123532444	0.00089665243385683	All	peakCvi
RIL162	14.3389760778744	0.000228445255722643	0.00548247123532444	0.00089665243385683	All	peakCvi
RIL163	7.53585443473469	8.31223775645692e-05	0.0020594148734858	0.00022966218622167	All	peakLer
RIL163	7.53585443473469	8.31223775645692e-05	0.0020594148734858	0.00022966218622167	All	peakLer
RIL165	8.62895052009365	6.80190792143675e-05	0.00262570426432397	0.000209783196334652	All	peakLer
RIL165	8.62895052009365	6.80190792143675e-05	0.00262570426432397	0.000209783196334652	All	peakLer
RIL166	7.33059854433921	4.02355925834811e-05	0.00206851809355777	0.000114795108521996	All	peakLer
RIL166	7.33059854433921	4.02355925834811e-05	0.00206851809355777	0.000114795108521996	All	peakLer
RIL167	9.1380151489888	5.56939275934845e-05	0.00289019417616996	0.000178785100279972	All	peakLer
RIL167	9.1380151489888	5.56939275934845e-05	0.00289019417616996	0.000178785100279972	All	peakLer
RIL168	7.03139124144996	0.000175072600442517	0.00327615792719216	0.000828340114209909	All	peakCvi
RIL168	7.03139124144996	0.000175072600442517	0.00327615792719216	0.000828340114209909	All	peakCvi
RIL170	9.40095899783097	0.000119441990893843	0.00221508037438686	0.000285028479793363	All	peakLer
RIL170	9.40095899783097	0.000119441990893843	0.00221508037438686	0.000285028479793363	All	peakLer
RIL172	8.03846434181899	7.84639906113811e-05	0.00208182329403572	0.000205508357351668	All	peakLer
RIL172	8.03846434181899	7.84639906113811e-05	0.00208182329403572	0.000205508357351668	All	peakLer
RIL173	5.52017683574525	5.32063379639598e-05	0.0018834210574754	0.000183299682663327	All	peakLer
RIL173	5.52017683574525	5.32063379639598e-05	0.0018834210574754	0.000183299682663327	All	peakLer
RIL175	8.66274671698397	0.000120122510926878	0.00309382885804668	0.000435613507544109	All	peakCvi
RIL175	8.66274671698397	0.000120122510926878	0.00309382885804668	0.000435613507544109	All	peakCvi
RIL18	6.97583583805026	6.43227524589599e-05	0.00189283321063598	0.000176298936958954	All	peakLer
RIL18	6.97583583805026	6.43227524589599e-05	0.00189283321063598	0.000176298936958954	All	peakLer
RIL180	6.98485975759652	7.50947802519286e-05	0.00158663734975783	0.00017213979188978	All	peakLer
RIL180	6.98485975759652	7.50947802519286e-05	0.00158663734975783	0.00017213979188978	All	peakLer
RIL182	4.63471312955293	0.00011686981035178	0.00140846292849695	0.000357886439560616	All	peakLer
RIL182	4.63471312955293	0.00011686981035178	0.00140846292849695	0.000357886439560616	All	peakLer
RIL186	8.22406074427715	8.14795148230591e-05	0.00266538993576542	0.000267697833389257	All	peakCvi
RIL186	8.22406074427715	8.14795148230591e-05	0.00266538993576542	0.000267697833389257	All	peakCvi
RIL19	6.6346024823066	7.34690863811713e-05	0.00173258595652035	0.000193649856781262	All	peakLer
RIL19	6.6346024823066	7.34690863811713e-05	0.00173258595652035	0.000193649856781262	All	peakLer
RIL190	7.13078932001141	5.75790871411096e-05	0.00270046220328538	0.000220995345764037	All	peakLer
RIL190	7.13078932001141	5.75790871411096e-05	0.00270046220328538	0.000220995345764037	All	peakLer
RIL191	8.70455124455949	0.000121213740682723	0.00199004268713692	0.000280079924088521	All	peakLer
RIL191	8.70455124455949	0.000121213740682723	0.00199004268713692	0.000280079924088521	All	peakLer
RIL192	6.01180722934353	3.15366692383137e-05	0.00199597744619849	0.000105769831237907	All	peakLer
RIL192	6.01180722934353	3.15366692383137e-05	0.00199597744619849	0.000105769831237907	All	peakLer
RIL21	4.68508457367949	0.00012396546959574	0.00184284208158463	0.000492225846717411	All	peakCvi
RIL21	4.68508457367949	0.00012396546959574	0.00184284208158463	0.000492225846717411	All	peakCvi
RIL22	8.90314984152454	5.11434318544107e-05	0.00222420472949146	0.00012932346191441	All	peakLer
RIL22	8.90314984152454	5.11434318544107e-05	0.00222420472949146	0.00012932346191441	All	peakLer
RIL23	6.58786879337241	0.000110568196480854	0.00193034544068505	0.000327326958872071	All	peakLer
