line	Alpha	Alpha_SE	Beta	Beta_SE	condition	peak_genotype
RIL59	1.60694650923337	1.19588750710482e-05	0.000737370878912012	5.50741140943546e-05	Cviseg	peakLer
RIL6	2.76194856043712	8.33761561575316e-05	0.00130655515328682	0.000396902206325291	Lerseg	peakCvi
RIL6	1.28841025740086	6.4436030208929e-05	0.00021821866380406	0.000109282979372594	Cviseg	peakCvi
RIL61	1.98978983085773	2.97306595884999e-05	0.000789305871829094	0.000118395113143888	Lerseg	peakLer
RIL61	1.60230778123655	3.13459327068411e-05	0.000485865827504532	9.52972164027754e-05	Cviseg	peakLer
RIL63	5.07766958187876	7.89042312138759e-05	0.0016962952263608	0.000266025688305991	Lerseg	peakCvi
RIL63	2.65785248433191	2.78376669086074e-05	0.00169081280391439	0.000178485815900125	Cviseg	peakCvi
RIL65	3.18944747111699	9.23540769736945e-05	0.00122406616282937	0.000356584789608283	Lerseg	peakLer
RIL65	1.82560646027588	5.13489213731835e-05	0.000698548364296972	0.000197166311480485	Cviseg	peakLer
RIL68	2.47907025911609	2.51327118219187e-05	0.00196074191702501	0.000200543019491124	Lerseg	peakLer
RIL68	1.83988195463144	1.55390877374964e-05	0.000419767251974365	3.55370526014106e-05	Cviseg	peakLer
RIL7	7.94993247117515	5.56188297073398e-05	0.00182366659526039	0.000128889967038789	Lerseg	peakCvi
RIL7	2.89097712221254	2.22949452802934e-05	0.00147169027879389	0.000114289818890786	Cviseg	peakCvi
RIL70	2.78898696030663	4.49629542960813e-05	0.000938393149647273	0.000152026227636236	Lerseg	peakLer
RIL70	1.79530803756642	2.56753291304323e-05	0.00117364958644722	0.000168759900836657	Cviseg	peakLer
RIL71	2.14107459426806	3.0829581987924e-05	0.00095089401786416	0.000137561587751101	Lerseg	peakLer
RIL71	1.47950965350992	2.33383906033158e-05	0.000477016207681344	7.5433090779788e-05	Cviseg	peakLer
RIL72	3.81343554372146	5.81111895150722e-05	0.00150976818945788	0.000231773808477329	Lerseg	peakCvi
RIL72	2.04007514212327	2.92201915208146e-05	0.000788289533515161	0.000113356466088588	Cviseg	peakCvi
RIL101	3.22531632806965	2.53849563584388e-05	0.00109492348585135	8.66619592496323e-05	All	peakLer
RIL101	3.22531632806965	2.53849563584388e-05	0.00109492348585135	8.66619592496323e-05	All	peakLer
RIL108	2.57949197602418	3.2463824960432e-05	0.00106842287273551	0.000135161197034638	All	peakCvi
RIL108	2.57949197602418	3.2463824960432e-05	0.00106842287273551	0.000135161197034638	All	peakCvi
RIL11	3.3370746076344	1.82225952903619e-05	0.00127460955941099	7.00417238342898e-05	All	peakCvi
RIL11	3.3370746076344	1.82225952903619e-05	0.00127460955941099	7.00417238342898e-05	All	peakCvi
RIL112	3.84204378337879	3.90576151878589e-05	0.00141793764309762	0.000145169853272031	All	peakLer
RIL112	3.84204378337879	3.90576151878589e-05	0.00141793764309762	0.000145169853272031	All	peakLer
RIL116	3.76455095889207	3.24440253683767e-05	0.00157217791899027	0.000136524208172157	All	peakCvi
RIL116	3.76455095889207	3.24440253683767e-05	0.00157217791899027	0.000136524208172157	All	peakCvi
RIL120	3.33419740668931	5.6637230271064e-05	0.00131439636156054	0.000224723852304296	All	peakCvi
RIL120	3.33419740668931	5.6637230271064e-05	0.00131439636156054	0.000224723852304296	All	peakCvi
RIL125	2.43992554782243	3.21841600744736e-05	0.000921687551534958	0.000122159558534642	All	peakLer
RIL125	2.43992554782243	3.21841600744736e-05	0.000921687551534958	0.000122159558534642	All	peakLer
RIL126	2.78951275761128	2.22391667793059e-05	0.00100114985506678	8.02202006958774e-05	All	peakLer
RIL126	2.78951275761128	2.22391667793059e-05	0.00100114985506678	8.02202006958774e-05	All	peakLer
RIL127	2.07684323370814	2.53654234436323e-05	0.000841869833452758	0.000103224727273387	All	peakLer
RIL127	2.07684323370814	2.53654234436323e-05	0.000841869833452758	0.000103224727273387	All	peakLer
RIL13	2.87241768858533	1.44645121081422e-05	0.00108302610940836	5.48334561001589e-05	All	peakLer
