,,,,,,,,,,,
Data_Type,Sample_name,Sample_id,Genotype (RIL_ID),Generation,Lineage,Sublineage,File_Name_Processed,Raw_File_Name_R1,Raw_File_Name_R2,Raw_File2_Name_R1,Raw_File2_Name_R2
WGBS,RIL19_G09_L02_2,RIL19_G09_L02_2_S84_L003,RIL19,9,2,2,methylome_RIL19_G09_L02_2_All.txt,RIL19_G09_L02_2_S84_L003_1.fastq.gz,RIL19_G09_L02_2_S84_L003_2.fastq.gz,,
WGBS,RIL21_G02_L01_3,RIL21_G02_L01_3_S78_L002,RIL21,2,1,3,methylome_RIL21_G02_L01_3_All.txt,RIL21_G02_L01_3_S78_L002_1.fastq.gz,RIL21_G02_L01_3_S78_L002_2.fastq.gz,,
WGBS,RIL21_G02_L01_4,RIL21_G02_L01_4_S113_L002,RIL21,2,1,4,methylome_RIL21_G02_L01_4_All.txt,RIL21_G02_L01_4_S113_L002_1.fastq.gz,RIL21_G02_L01_4_S113_L002_2.fastq.gz,,
WGBS,RIL21_G02_L02_4,RIL21_G02_L02_4_S166_L004,RIL21,2,2,4,methylome_RIL21_G02_L02_4_All.txt,RIL21_G02_L02_4_S166_L004_1.fastq.gz,RIL21_G02_L02_4_S166_L004_2.fastq.gz,,
WGBS,RIL21_G09_L02_1,RIL21_G09_L02_1_S112_L002,RIL21,9,2,1,methylome_RIL21_G09_L02_1_All.txt,RIL21_G09_L02_1_S112_L002_1.fastq.gz,RIL21_G09_L02_1_S112_L002_2.fastq.gz,,
WGBS,RIL21_G09_L02_2,RIL21_G09_L02_2_S104_L002,RIL21,9,2,2,methylome_RIL21_G09_L02_2_All.txt,RIL21_G09_L02_2_S104_L002_1.fastq.gz,RIL21_G09_L02_2_S104_L002_2.fastq.gz,,
WGBS,RIL22_G02_L01_3,RIL22_G02_L01_3_S182_L004,RIL22,2,1,3,methylome_RIL22_G02_L01_3_All.txt,RIL22_G02_L01_3_S182_L004_1.fastq.gz,RIL22_G02_L01_3_S182_L004_2.fastq.gz,,
WGBS,RIL22_G02_L02_4,RIL22_G02_L02_4_S92_L003,RIL22,2,2,4,methylome_RIL22_G02_L02_4_All.txt,RIL22_G02_L02_4_S92_L003_1.fastq.gz,RIL22_G02_L02_4_S92_L003_2.fastq.gz,,
WGBS,RIL22_G09_L01_2,RIL22_G09_L01_2_S57_L002,RIL22,9,1,2,methylome_RIL22_G09_L01_2_All.txt,RIL22_G09_L01_2_S57_L002_1.fastq.gz,RIL22_G09_L01_2_S57_L002_2.fastq.gz,,
WGBS,RIL22_G09_L02_2,RIL22_G09_L02_2_S69_L002,RIL22,9,2,2,methylome_RIL22_G09_L02_2_All.txt,RIL22_G09_L02_2_S69_L002_1.fastq.gz,RIL22_G09_L02_2_S69_L002_2.fastq.gz,,
WGBS,RIL22_G09_L01_1,RIL22_G09_L01_1_S97_L004,RIL22,9,1,1,methylome_RIL22_G09_L01_1_All.txt,RIL22_G09_L01_1_S97_L004_1.fastq.gz,RIL22_G09_L01_1_S97_L004_2.fastq.gz,,
WGBS,RIL23_G02_L02_3,RIL23_G02_L02_3_S105_L002,RIL23,2,2,3,methylome_RIL23_G02_L02_3_All.txt,RIL23_G02_L02_3_S105_L002_1.fastq.gz,RIL23_G02_L02_3_S105_L002_2.fastq.gz,,
